Id,Title,Sub Title,Image,Type,Teaser,Content,Web Status,Admin Status,Department,Vendor,Variant Title,SKU,UPC Code,Cost of Good,Price,Compare Price,Has Inventory,Inventory Policy,Has Shipping,Tax Type,Weight,Security,SEO Title,SEO Description,Slug,Created At,Updated At
1b6153f4-7258-4d9a-9016-58658d8f367f,Still water,Still Water,,General Merchandise,,,Not Available,Available,,,660ml still water,drinks,,11.00,35.00,,,Back Order,,General Merchandise,0.5,Public,Still water,,still-water,2024-01-31 12:43:17,2024-01-31 12:56:14
1cd9b97c-5b7a-4ba1-8efc-bda032e6e1f9,AdamaWhite 2021,AdamaWhite 2021,,Wine,,,Not Available,Available,,,750ml wine,ADAWHT21,,70.00,200.00,,,Back Order,1,Wine,0.1,Public,AdamaWhite 2021,,adamawhite-2021,2024-03-19 16:07:51,2024-03-19 16:07:51
1df22584-eac8-416c-a89f-15ee6fef4b4a,Supernature Pinot Gris,,,Wine,,,Not Available,Available,,,750ml,SNPINOTGRIS,,45.00,200.00,,,Back Order,1,Wine,0,Public,Supernature Pinot Gris,,supernature-pinot-gris,2024-03-01 10:03:30,2024-03-01 10:04:23
1e54729d-89fa-406c-907d-4fd14ed06dee,Twyfeling Cinsaut,,https://images.commerce7.com/bosman-family-vineyards/images/original/bosman-cinsaut-twyfeling-2016-1712155599968.jpg,Wine,,,Available,Available,,,Twyfeling Cinsaut 2016,TWCIN16,,40.00,450.00,,,Back Order,1,Wine,0,Public,Twyfeling Cinsaut,,twyfeling-cinsaut-,2024-04-03 16:46:51,2024-04-03 16:47:54
1f57681f-bfbc-460d-8d22-4b90445e0ec9,Hello Summer Selection,SPECIAL PRICE R2192 | SAVE R548,https://images.commerce7.com/bosman-family-vineyards/images/original/peartree_debos-5-1701340155017.jpg,Bundle,We've secured a line up of 12 of our best selling wines to have on hand to serve your guests as they pop in over the holidays!,"<p><strong>We've secured a line up of 12 of our best selling wines to have on hand to serve your guests as they pop in over the holidays!</strong></p>
<p>1x Pet Nat Weisser Riesling 2023</p>
<p>1x Chasing Rabbits Grenache Blanc 2021</p>
<p>1x Generaiton 8 Chenin Blanc 2023</p>
<p>1x Generation 8 Rose 2022</p>
<p>1x Optenhorst Chenin Blanc 2022 | 5* Platter</p>
<p>1x Generation 8 Shiraz 2022</p>
<p>1x Twyfeling Cinsaut 2021</p>
<p>1x Upper Hemel-en-Aarde Pinot Noir 2022</p>
<p>1x Adama Red 2021</p>
<p>1x Magnum Opus Pinot Noir 2018</p>
<p>1x Bosman Nero 2019</p>
<p>1x Dolce Primitivo 2017 | Limited Edition&nbsp;</p>
<p><strong>SPECIAL PRICE R2192 | SAVE R548</strong></p>",Not Available,Available,,,12 bottle selection,SUMSEL12,,,2192.00,2740.00,,Back Order,,Not Taxable,0,Public,Hello Summer Selection,"We've secured a line up of 12 of our best selling wines to have on hand to serve your guests as they pop in over the holidays!
1x Pet Nat Weisser Riesling...",hello-summer-selection,2023-11-30 12:29:38,2023-12-21 10:51:48
2410d054-d291-4005-beb3-647685d7e5cb,Ultimate 12 Maart 2024 Shipment,,,Bundle,,,Available,Available,,,12 bottle selection,ULT12MAART,,,2940.00,,,Back Order,,Not Taxable,0,Public,Ultimate 12 Maart 2024 Shipment,,ultimate-12-maart-2024-shipment,2024-02-28 09:55:09,2024-02-28 09:55:09
2562c212-06e1-42d3-aae1-2a61d759485c,Still Water 1L,,,General Merchandise,,,Not Available,Available,,,WATER,stillwater1L,,10.00,30.00,,,Back Order,1,General Merchandise,0,Public,Still Water 1L,,still-water-1l-,2024-03-06 15:56:14,2024-03-06 15:56:14
277e2028-ff7f-41b5-ae12-775e178781fb,Pulled pork bao buns,pulled pork bao buns,,General Merchandise,,,Not Available,Available,,,pulled pork bao buns,BAOBUNSPORK,,60.00,125.00,,,Back Order,1,Food,0.1,Public,Pulled pork bao buns,,pulled-pork-bao-buns,2024-03-20 11:14:30,2024-03-20 11:14:30
278e5238-08eb-4658-a0e7-09d9f96303f7,Optenhorst Chenin Blanc,,https://images.commerce7.com/bosman-family-vineyards/images/original/bosman-optenhorst-chenin-blanc-2014-1712154462192.jpg,Wine,,,Available,Available,,,Optenhorst Chenin Blanc 2014,OPTCHEBLA14,,50.00,656.00,,,Back Order,1,Wine,0,Public,Optenhorst Chenin Blanc,,optenhorst-chenin-blanc-,2024-04-03 16:28:11,2024-04-04 11:28:30
3086c588-8209-46e9-947a-f9436b7e946f,Lebanese aubergine,Lebanese aubergine,,General Merchandise,,,Not Available,Available,,,Lebanese aubergine,LEBANESEFRI,,40.00,100.00,,,Back Order,1,General Merchandise,0.1,Public,Lebanese aubergine,,lebanese-aubergine,2024-03-20 11:11:00,2024-03-20 11:11:00
308b4421-60df-463b-a3ef-ff9c3cfa9b4b,Generation 8 Cabernet Sauvignon 2023,,https://images.commerce7.com/bosman-family-vineyards/images/original/bosman-family-vineyards-generation-8-cabernet-sauvignon-2023-1712232821907.webp,Wine,"“Our family has an affinity to Cabernet Sauvignon,” explains CEO, Petrus Bosman. “My grandfather believed that by blending a small portion of Cabernet into a red wine, it would take that wine to a whole new level.”","<p><span class=""TextRun SCXW232852061 BCX8"" lang=""EN-ZA"" xml:lang=""EN-ZA"" data-contrast=""auto""><span class=""NormalTextRun SCXW232852061 BCX8"">Grapes are hand harvested and destemmed before </span></span><span class=""TextRun SCXW232852061 BCX8"" lang=""EN-ZA"" xml:lang=""EN-ZA"" data-contrast=""none""><span class=""NormalTextRun SCXW232852061 BCX8"">the onset of </span></span><span class=""TextRun SCXW232852061 BCX8"" lang=""EN-ZA"" xml:lang=""EN-ZA"" data-contrast=""auto""><span class=""NormalTextRun SCXW232852061 BCX8"">fermentation. </span><span class=""NormalTextRun SpellingErrorV2Themed SCXW232852061 BCX8"">Pumpovers</span><span class=""NormalTextRun SCXW232852061 BCX8""> are utilized</span><span class=""NormalTextRun SCXW232852061 BCX8""> for colour extraction. Before</span><span class=""NormalTextRun SCXW232852061 BCX8""> alcoholic fermentation</span><span class=""NormalTextRun SCXW232852061 BCX8""> is complete</span><span class=""NormalTextRun SCXW232852061 BCX8"">, it is pressed to make sure that the tannin expression is fine and </span><span class=""NormalTextRun SCXW232852061 BCX8"">subtle.</span> </span><span class=""TextRun SCXW232852061 BCX8"" lang=""EN-ZA"" xml:lang=""EN-ZA"" data-contrast=""none""><span class=""NormalTextRun SCXW232852061 BCX8"">A portion of the wine is m</span></span><span class=""TextRun SCXW232852061 BCX8"" lang=""EN-ZA"" xml:lang=""EN-ZA"" data-contrast=""auto""><span class=""NormalTextRun SCXW232852061 BCX8"">atured in new French oak for 4 months to </span><span class=""NormalTextRun SCXW232852061 BCX8"">create a complex wine with supple</span> <span class=""NormalTextRun SpellingErrorV2Themed SCXW232852061 BCX8"">supple</span><span class=""NormalTextRun SCXW232852061 BCX8""> tannins.</span></span></p>
<p><span class=""TextRun SCXW232852061 BCX8"" lang=""EN-ZA"" xml:lang=""EN-ZA"" data-contrast=""auto""><span class=""NormalTextRun SCXW117955562 BCX8"">C</span><span class=""NormalTextRun SCXW117955562 BCX8"">rimson with a pu</span><span class=""NormalTextRun SCXW117955562 BCX8"">rpl</span><span class=""NormalTextRun SCXW117955562 BCX8"">e edge</span><span class=""NormalTextRun SCXW117955562 BCX8"">. <span class=""TextRun SCXW65381874 BCX8"" lang=""EN-ZA"" xml:lang=""EN-ZA"" data-contrast=""none""><span class=""NormalTextRun SCXW65381874 BCX8"">B</span></span><span class=""TextRun SCXW65381874 BCX8"" lang=""EN-ZA"" xml:lang=""EN-ZA"" data-contrast=""auto""><span class=""NormalTextRun SCXW65381874 BCX8"">eautiful</span><span class=""NormalTextRun SCXW65381874 BCX8""> blackberry and </span></span><span class=""TrackChangeTextInsertion TrackedChange SCXW65381874 BCX8""><span class=""TextRun SCXW65381874 BCX8"" lang=""EN-ZA"" xml:lang=""EN-ZA"" data-contrast=""auto""><span class=""NormalTextRun SCXW65381874 BCX8"">raspberry</span></span></span><span class=""TextRun SCXW65381874 BCX8"" lang=""EN-ZA"" xml:lang=""EN-ZA"" data-contrast=""auto""><span class=""NormalTextRun SCXW65381874 BCX8""> aromas</span><span class=""NormalTextRun SCXW65381874 BCX8""> are</span><span class=""NormalTextRun SCXW65381874 BCX8""> rounded out by a long, </span><span class=""NormalTextRun SCXW65381874 BCX8"">fresh</span><span class=""NormalTextRun SCXW65381874 BCX8"">,</span> <span class=""NormalTextRun SCXW65381874 BCX8"">fruit-packed finish</span><span class=""NormalTextRun SCXW65381874 BCX8"">. <span class=""TextRun SCXW83989597 BCX8"" lang=""EN-ZA"" xml:lang=""EN-ZA"" data-contrast=""auto""><span class=""NormalTextRun SCXW83989597 BCX8"">A velvety </span><span class=""NormalTextRun ContextualSpellingAndGrammarErrorV2Themed SCXW83989597 BCX8"">mouth-feel</span><span class=""NormalTextRun SCXW83989597 BCX8""> with a fruity, lingering finish</span><span class=""NormalTextRun SCXW83989597 BCX8"">.</span></span><span class=""EOP SCXW83989597 BCX8"" data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:0,&quot;335559740&quot;:240}"">&nbsp;</span></span></span></span></span></p>
<p><span class=""TextRun SCXW232852061 BCX8"" lang=""EN-ZA"" xml:lang=""EN-ZA"" data-contrast=""auto""><span class=""NormalTextRun SCXW117955562 BCX8""><span class=""TextRun SCXW65381874 BCX8"" lang=""EN-ZA"" xml:lang=""EN-ZA"" data-contrast=""auto""><span class=""NormalTextRun SCXW65381874 BCX8""><span class=""EOP SCXW83989597 BCX8"" data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:0,&quot;335559740&quot;:240}""><strong><span class=""TextRun SCXW91005149 BCX8"" lang=""EN-ZA"" xml:lang=""EN-ZA"" data-contrast=""auto""><span class=""NormalTextRun SCXW91005149 BCX8"">VARIETAL:</span></span></strong><span class=""TextRun SCXW91005149 BCX8"" lang=""EN-ZA"" xml:lang=""EN-ZA"" data-contrast=""auto""><span class=""NormalTextRun SCXW91005149 BCX8""> 100% Cabernet Sauvignon.</span></span></span></span></span></span></span></p>
<p><a href=""https://bosmanwines.com/wp-content/uploads/2023/08/FactSheet_Generation8_CabSauv_2023.pdf"">Generation 8 Cabernet Sauvignon 2023 Tasting Note</a></p>
<p>&nbsp;</p>",Available,Available,,,750ml,GENCAS23,,21.44,100.00,,,Back Order,1,Wine,0,Public,Generation 8 Cabernet Sauvignon 2023,Grapes are hand harvested and destemmed before the onset of fermentation. Pumpovers are utilized for colour extraction. Before alcoholic fermentation is...,generation-8-cabernet-sauvignon-2022,2023-03-27 14:18:27,2024-04-04 14:14:00
30dcd178-49a5-4db9-8b63-e7d5db129c5d,Double espresso,Double espresso,,General Merchandise,,,Not Available,Available,,,Double espresso,ESPDOU,,10.00,25.00,,,Back Order,,General Merchandise,0.05,Public,Double espresso,,double-espresso,2024-03-19 16:25:35,2024-03-19 16:25:35
